127.0.0.1 - - [22/Oct/2018:19:41:19 +0100] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:41:20 +0100] "GET /Offers/ HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:48:56 +0100] "POST /Offers/rest/create HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:49:06 +0100] "POST /Offers/rest/create/hello HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:49:12 +0100] "GET /Offers/rest/view HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:25:47 +0100] "POST null null" 400 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:25:53 +0100] "GET /Offers/rest/view HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:30:29 +0100] "POST null null" 400 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:30:33 +0100] "GET /Offers/rest/view HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:30:46 +0100] "POST /Offers/rest/create/hello,sturdy/pounds/1.99/30 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:31:00 +0100] "GET /Offers/rest/view HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:32:38 +0100] "POST /Offers/rest/create/hello,sturdy/pounds/1.99/30 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:32:44 +0100] "GET /Offers/rest/view HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:33:06 +0100] "POST /Offers/rest/create/hello,sturdy/1.99/30 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:33:11 +0100] "GET /Offers/rest/view HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:33:19 +0100] "DELETE /Offers/rest/delete HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:33:25 +0100] "GET /Offers/rest/view HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:33:29 +0100] "POST /Offers/rest/create/hello,sturdy/1.99/30 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:33:31 +0100] "GET /Offers/rest/view HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:33:34 +0100] "POST /Offers/rest/create/hello,sturdy/1.99/30 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:33:43 +0100] "POST /Offers/rest/create/hello,sturdy/asdaa/1.99/30 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:33:46 +0100] "GET /Offers/rest/view HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:34:47 +0100] "POST /Offers/rest/create/hello/sturdy/1.99/30 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:34:51 +0100] "GET /Offers/rest/view HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:34:55 +0100] "DELETE /Offers/rest/delete HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:34:56 +0100] "DELETE /Offers/rest/delete HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:34:59 +0100] "POST /Offers/rest/create/hello/sturdy/1.99/30 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:35:04 +0100] "GET /Offers/rest/view HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:35:15 +0100] "DELETE /Offers/rest/delete HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:35:23 +0100] "POST /Offers/rest/create/hello/sturdy/1.99/25 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:35:27 +0100] "GET /Offers/rest/view HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:36:39 +0100] "POST /Offers/rest/create/hello/sturdy/currency/1.99/25 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:36:43 +0100] "GET /Offers/rest/view HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:37:01 +0100] "DELETE /Offers/rest/delete HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:37:06 +0100] "POST /Offers/rest/create/hello/sturdy/pounds/1.99/25 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:37:10 +0100] "GET /Offers/rest/view HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:37:20 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/25 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:37:25 +0100] "GET /Offers/rest/view HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:39:33 +0100] "GET /Offers/rest/view HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:39:52 +0100] "GET /Offers/rest/view HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:39:55 +0100] "DELETE /Offers/rest/delete HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:39:55 +0100] "DELETE /Offers/rest/delete HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:39:59 +0100] "GET /Offers/rest/view HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:40:12 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/25 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:40:23 +0100] "DELETE /Offers/rest/delete HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:40:29 +0100] "GET /Offers/rest/view HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:40:33 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/25 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:40:36 +0100] "GET /Offers/rest/view HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:44:21 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/25 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:44:22 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/25 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:44:23 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/25 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:44:37 +0100] "GET /Offers/rest/view HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:44:50 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/1 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:44:54 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/2 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:44:57 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/3 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:45:00 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/4 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:45:04 +0100] "GET /Offers/rest/view HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:45:29 +0100] "DELETE /Offers/rest/delete/2 HTTP/1.1" 400 35
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:45:37 +0100] "GET /Offers/rest/view HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:45:53 +0100] "DELETE /Offers/rest/delete/2/ HTTP/1.1" 400 35
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:45:58 +0100] "DELETE /Offers/rest/delete/2/2 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:46:02 +0100] "GET /Offers/rest/view HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:46:06 +0100] "GET /Offers/rest/view HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:46:15 +0100] "DELETE /Offers/rest/delete/2 HTTP/1.1" 400 35
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:47:32 +0100] "GET /Offers/rest/view HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:47:39 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/0 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:47:42 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/1 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:47:46 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/2 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:47:49 +0100] "GET /Offers/rest/view HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:48:11 +0100] "DELETE /Offers/rest/delete/1 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:48:18 +0100] "GET /Offers/rest/view HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:56:06 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/2 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:56:12 +0100] "GET /Offers/rest/view HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [22/Oct/2018:21:04:52 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/2 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:21:04:56 +0100] "GET /Offers/rest/view HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [22/Oct/2018:21:13:42 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/2 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:21:13:46 +0100] "GET /Offers/rest/view HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [22/Oct/2018:21:22:55 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/2 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:21:22:58 +0100] "GET /Offers/rest/view HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [22/Oct/2018:21:26:31 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/2 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:21:26:35 +0100] "GET /Offers/rest/view HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [22/Oct/2018:21:31:10 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/2 HTTP/1.1" 204 -
